round,shuffle_role,period_length,num_subperiods,gamma,mean_matching,max_info,players_per_group,game,regret,practice,session_code,subsession_id,id_in_subsession,tick,p1_code,p1_role,p1_strategy,p1_target,p2_code,p2_role,p2_strategy,p2_target,p3_code,p3_role,p3_strategy,p3_target,p4_code,p4_role,p4_strategy,p4_target,p5_code,p5_role,p5_strategy,p5_target,p6_code,p6_role,p6_strategy,p6_target,p7_code,p7_role,p7_strategy,p7_target,p8_code,p8_role,p8_strategy,p8_target,p9_code,p9_role,p9_strategy,p9_target,p10_code,p10_role,p10_strategy,p10_target
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,1,2,ep54a3q9,p1,0,nan,2sbngcwz,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,1,3,ep54a3q9,p1,0,nan,2sbngcwz,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,1,4,ep54a3q9,p1,0,nan,2sbngcwz,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,1,5,ep54a3q9,p1,1,nan,2sbngcwz,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,1,6,ep54a3q9,p1,1,nan,2sbngcwz,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,1,7,ep54a3q9,p1,1,nan,2sbngcwz,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,1,8,ep54a3q9,p1,1,nan,2sbngcwz,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,1,9,ep54a3q9,p1,1,nan,2sbngcwz,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,1,10,ep54a3q9,p1,1,nan,2sbngcwz,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,1,11,ep54a3q9,p1,0,nan,2sbngcwz,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,1,12,ep54a3q9,p1,0,nan,2sbngcwz,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,1,13,ep54a3q9,p1,0,nan,2sbngcwz,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,1,14,ep54a3q9,p1,0,nan,2sbngcwz,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,1,15,ep54a3q9,p1,0,nan,2sbngcwz,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,1,16,ep54a3q9,p1,1,nan,2sbngcwz,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,1,17,ep54a3q9,p1,1,nan,2sbngcwz,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
