round,shuffle_role,period_length,num_subperiods,gamma,mean_matching,max_info,players_per_group,game,regret,practice,session_code,subsession_id,id_in_subsession,tick,p1_code,p1_role,p1_strategy,p1_target,p2_code,p2_role,p2_strategy,p2_target,p3_code,p3_role,p3_strategy,p3_target,p4_code,p4_role,p4_strategy,p4_target,p5_code,p5_role,p5_strategy,p5_target,p6_code,p6_role,p6_strategy,p6_target,p7_code,p7_role,p7_strategy,p7_target,p8_code,p8_role,p8_strategy,p8_target,p9_code,p9_role,p9_strategy,p9_target,p10_code,p10_role,p10_strategy,p10_target,p11_code,p11_role,p11_strategy,p11_target,p12_code,p12_role,p12_strategy,p12_target
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,2,37,nt41ebp0,p1,1,nan,6kaeoxtn,p2,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,2,38,nt41ebp0,p1,1,nan,6kaeoxtn,p2,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,2,39,nt41ebp0,p1,1,nan,6kaeoxtn,p2,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,5,0,076eoezu,p1,1,nan,e014izu8,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,5,1,076eoezu,p1,1,nan,e014izu8,p2,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,5,2,076eoezu,p1,1,nan,e014izu8,p2,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,5,3,076eoezu,p1,2,nan,e014izu8,p2,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,5,4,076eoezu,p1,1,nan,e014izu8,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,5,5,076eoezu,p1,1,nan,e014izu8,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,5,6,076eoezu,p1,1,nan,e014izu8,p2,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,5,7,076eoezu,p1,2,nan,e014izu8,p2,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,5,8,076eoezu,p1,1,nan,e014izu8,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,5,9,076eoezu,p1,1,nan,e014izu8,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,5,10,076eoezu,p1,1,nan,e014izu8,p2,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,5,11,076eoezu,p1,2,nan,e014izu8,p2,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,5,12,076eoezu,p1,1,nan,e014izu8,p2,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,5,13,076eoezu,p1,2,nan,e014izu8,p2,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,5,14,076eoezu,p1,1,nan,e014izu8,p2,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,5,15,076eoezu,p1,0,nan,e014izu8,p2,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,5,16,076eoezu,p1,0,nan,e014izu8,p2,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,5,17,076eoezu,p1,0,nan,e014izu8,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,5,18,076eoezu,p1,0,nan,e014izu8,p2,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,TRUE,320,40,1,FALSE,FALSE,2,MV,2,FALSE,mah99197,861,5,19,076eoezu,p1,0,nan,e014izu8,p2,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
