round,shuffle_role,period_length,num_subperiods,gamma,mean_matching,max_info,players_per_group,game,regret,practice,session_code,subsession_id,id_in_subsession,tick,p1_code,p1_role,p1_strategy,p1_regret0,p1_regret1,p1_regret2,p1_target,p2_code,p2_role,p2_strategy,p2_regret0,p2_regret1,p2_regret2,p2_target,p3_code,p3_role,p3_strategy,p3_regret0,p3_regret1,p3_regret2,p3_target,p4_code,p4_role,p4_strategy,p4_regret0,p4_regret1,p4_regret2,p4_target,p5_code,p5_role,p5_strategy,p5_regret0,p5_regret1,p5_regret2,p5_target,p6_code,p6_role,p6_strategy,p6_regret0,p6_regret1,p6_regret2,p6_target,p7_code,p7_role,p7_strategy,p7_regret0,p7_regret1,p7_regret2,p7_target,p8_code,p8_role,p8_strategy,p8_regret0,p8_regret1,p8_regret2,p8_target,p9_code,p9_role,p9_strategy,p9_regret0,p9_regret1,p9_regret2,p9_target,p10_code,p10_role,p10_strategy,p10_regret0,p10_regret1,p10_regret2,p10_target
5,TRUE,200,50,1,FALSE,FALSE,2,BM2,3,FALSE,07gjoche,255,3,30,pjivcwew,p1,1,436,493,0,nan,3jzswa3r,p2,0,363,371,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,200,50,1,FALSE,FALSE,2,BM2,3,FALSE,07gjoche,255,3,31,pjivcwew,p1,1,440,500,0,nan,3jzswa3r,p2,0,356,360,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,200,50,1,FALSE,FALSE,2,BM2,3,FALSE,07gjoche,255,3,32,pjivcwew,p1,1,444,506,0,nan,3jzswa3r,p2,0,350,350,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,200,50,1,FALSE,FALSE,2,BM2,3,FALSE,07gjoche,255,3,33,pjivcwew,p1,1,447,512,0,nan,3jzswa3r,p2,1,344,341,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,200,50,1,FALSE,FALSE,2,BM2,3,FALSE,07gjoche,255,3,34,pjivcwew,p1,1,433,489,0,nan,3jzswa3r,p2,1,329,314,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,200,50,1,FALSE,FALSE,2,BM2,3,FALSE,07gjoche,255,3,35,pjivcwew,p1,1,421,468,0,nan,3jzswa3r,p2,1,313,288,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,200,50,1,FALSE,FALSE,2,BM2,3,FALSE,07gjoche,255,3,36,pjivcwew,p1,0,410,450,0,nan,3jzswa3r,p2,1,300,267,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,200,50,1,FALSE,FALSE,2,BM2,3,FALSE,07gjoche,255,3,37,pjivcwew,p1,0,429,482,0,nan,3jzswa3r,p2,1,320,300,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,200,50,1,FALSE,FALSE,2,BM2,3,FALSE,07gjoche,255,3,38,pjivcwew,p1,0,417,461,0,nan,3jzswa3r,p2,1,336,327,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,200,50,1,FALSE,FALSE,2,BM2,3,FALSE,07gjoche,255,3,39,pjivcwew,p1,0,405,442,0,nan,3jzswa3r,p2,0,350,350,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,200,50,1,FALSE,FALSE,2,BM2,3,FALSE,07gjoche,255,3,40,pjivcwew,p1,0,410,450,0,nan,3jzswa3r,p2,0,350,350,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,200,50,1,FALSE,FALSE,2,BM2,3,FALSE,07gjoche,255,3,41,pjivcwew,p1,0,414,457,0,nan,3jzswa3r,p2,0,355,359,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,200,50,1,FALSE,FALSE,2,BM2,3,FALSE,07gjoche,255,3,42,pjivcwew,p1,0,418,464,0,nan,3jzswa3r,p2,0,360,367,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,200,50,1,FALSE,FALSE,2,BM2,3,FALSE,07gjoche,255,3,43,pjivcwew,p1,0,422,470,0,nan,3jzswa3r,p2,0,365,374,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,200,50,1,FALSE,FALSE,2,BM2,3,FALSE,07gjoche,255,3,44,pjivcwew,p1,0,425,475,0,nan,3jzswa3r,p2,0,369,381,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,200,50,1,FALSE,FALSE,2,BM2,3,FALSE,07gjoche,255,3,45,pjivcwew,p1,0,428,480,0,nan,3jzswa3r,p2,0,373,388,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,200,50,1,FALSE,FALSE,2,BM2,3,FALSE,07gjoche,255,3,46,pjivcwew,p1,0,431,485,0,nan,3jzswa3r,p2,0,376,394,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,200,50,1,FALSE,FALSE,2,BM2,3,FALSE,07gjoche,255,3,47,pjivcwew,p1,0,433,489,0,nan,3jzswa3r,p2,0,380,400,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,200,50,1,FALSE,FALSE,2,BM2,3,FALSE,07gjoche,255,3,48,pjivcwew,p1,0,436,493,0,nan,3jzswa3r,p2,0,383,406,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TRUE,200,50,1,FALSE,FALSE,2,BM2,3,FALSE,07gjoche,255,3,49,pjivcwew,p1,0,438,497,0,nan,3jzswa3r,p2,0,386,411,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TRUE,200,50,1,FALSE,FALSE,2,BM1,3,FALSE,07gjoche,258,3,0,owiawee6,p1,0,0,0,0,nan,uc71lpvg,p2,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TRUE,200,50,1,FALSE,FALSE,2,BM1,3,FALSE,07gjoche,258,3,1,owiawee6,p1,0,600,500,0,nan,uc71lpvg,p2,1,100,200,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TRUE,200,50,1,FALSE,FALSE,2,BM1,3,FALSE,07gjoche,258,3,2,owiawee6,p1,0,600,500,0,nan,uc71lpvg,p2,1,100,200,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TRUE,200,50,1,FALSE,FALSE,2,BM1,3,FALSE,07gjoche,258,3,3,owiawee6,p1,0,600,500,0,nan,uc71lpvg,p2,1,100,200,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TRUE,200,50,1,FALSE,FALSE,2,BM1,3,FALSE,07gjoche,258,3,4,owiawee6,p1,0,600,500,0,nan,uc71lpvg,p2,1,100,200,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TRUE,200,50,1,FALSE,FALSE,2,BM1,3,FALSE,07gjoche,258,3,5,owiawee6,p1,0,600,500,0,nan,uc71lpvg,p2,1,100,200,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TRUE,200,50,1,FALSE,FALSE,2,BM1,3,FALSE,07gjoche,258,3,6,owiawee6,p1,0,600,500,0,nan,uc71lpvg,p2,1,100,200,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
