round,shuffle_role,period_length,num_subperiods,gamma,mean_matching,max_info,players_per_group,game,regret,practice,session_code,subsession_id,id_in_subsession,tick,p1_code,p1_role,p1_strategy,p1_regret0,p1_regret1,p1_regret2,p1_target,p2_code,p2_role,p2_strategy,p2_regret0,p2_regret1,p2_regret2,p2_target,p3_code,p3_role,p3_strategy,p3_regret0,p3_regret1,p3_regret2,p3_target,p4_code,p4_role,p4_strategy,p4_regret0,p4_regret1,p4_regret2,p4_target,p5_code,p5_role,p5_strategy,p5_regret0,p5_regret1,p5_regret2,p5_target,p6_code,p6_role,p6_strategy,p6_regret0,p6_regret1,p6_regret2,p6_target,p7_code,p7_role,p7_strategy,p7_regret0,p7_regret1,p7_regret2,p7_target,p8_code,p8_role,p8_strategy,p8_regret0,p8_regret1,p8_regret2,p8_target,p9_code,p9_role,p9_strategy,p9_regret0,p9_regret1,p9_regret2,p9_target,p10_code,p10_role,p10_strategy,p10_regret0,p10_regret1,p10_regret2,p10_target,p11_code,p11_role,p11_strategy,p11_regret0,p11_regret1,p11_regret2,p11_target,p12_code,p12_role,p12_strategy,p12_regret0,p12_regret1,p12_regret2,p12_target,p13_code,p13_role,p13_strategy,p13_regret0,p13_regret1,p13_regret2,p13_target,p14_code,p14_role,p14_strategy,p14_regret0,p14_regret1,p14_regret2,p14_target
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,20,8lkkn1km,p1,2,41,135,124,nan,6ddmvn1u,p2,0,169,115,15,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,21,8lkkn1km,p1,2,39,139,122,nan,6ddmvn1u,p2,0,171,114,14,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,22,8lkkn1km,p1,1,37,142,121,nan,6ddmvn1u,p2,0,173,113,13,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,23,8lkkn1km,p1,1,0,200,100,nan,6ddmvn1u,p2,1,169,106,25,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,24,8lkkn1km,p1,2,50,100,150,nan,6ddmvn1u,p2,0,157,100,43,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,25,8lkkn1km,p1,1,35,145,120,nan,6ddmvn1u,p2,0,171,106,24,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,26,8lkkn1km,p1,2,33,133,133,nan,6ddmvn1u,p2,0,167,100,33,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,27,8lkkn1km,p1,1,33,148,119,nan,6ddmvn1u,p2,0,168,100,32,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,28,8lkkn1km,p1,1,25,150,125,nan,6ddmvn1u,p2,0,165,95,40,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,29,8lkkn1km,p1,1,20,160,120,nan,6ddmvn1u,p2,1,162,90,48,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,30,8lkkn1km,p1,1,33,133,133,nan,6ddmvn1u,p2,2,150,88,63,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,31,8lkkn1km,p1,1,57,129,114,nan,6ddmvn1u,p2,2,150,50,100,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,32,8lkkn1km,p1,2,75,125,100,nan,6ddmvn1u,p2,2,133,33,133,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,33,8lkkn1km,p1,2,41,145,114,nan,6ddmvn1u,p2,0,150,50,100,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,34,8lkkn1km,p1,1,39,148,113,nan,6ddmvn1u,p2,0,164,91,45,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,35,8lkkn1km,p1,1,67,133,100,nan,6ddmvn1u,p2,2,161,87,52,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,36,8lkkn1km,p1,1,80,130,90,nan,6ddmvn1u,p2,2,140,40,120,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,37,8lkkn1km,p1,2,91,127,82,nan,6ddmvn1u,p2,2,133,33,133,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,38,8lkkn1km,p1,1,46,146,108,nan,6ddmvn1u,p2,0,143,43,114,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,39,8lkkn1km,p1,1,83,133,83,nan,6ddmvn1u,p2,2,158,83,58,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,40,8lkkn1km,p1,1,92,131,77,nan,6ddmvn1u,p2,2,138,38,125,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,41,8lkkn1km,p1,1,100,129,71,nan,6ddmvn1u,p2,2,133,33,133,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,42,8lkkn1km,p1,1,107,127,67,nan,6ddmvn1u,p2,2,130,30,140,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,43,8lkkn1km,p1,2,113,125,63,nan,6ddmvn1u,p2,2,127,27,145,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,44,8lkkn1km,p1,0,52,144,104,nan,6ddmvn1u,p2,0,133,33,133,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,45,8lkkn1km,p1,1,25,150,125,nan,6ddmvn1u,p2,1,152,88,60,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,46,8lkkn1km,p1,1,112,118,71,nan,6ddmvn1u,p2,2,144,78,78,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,47,8lkkn1km,p1,1,117,117,67,nan,6ddmvn1u,p2,2,131,31,138,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,48,8lkkn1km,p1,1,121,116,63,nan,6ddmvn1u,p2,2,129,29,143,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,3,49,8lkkn1km,p1,1,125,115,60,nan,6ddmvn1u,p2,2,127,27,147,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,4,0,7zk7stad,p1,0,0,0,0,nan,ik8xtd4h,p2,0,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,4,1,7zk7stad,p1,1,0,200,100,nan,ik8xtd4h,p2,1,0,200,100,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,4,2,7zk7stad,p1,0,100,0,200,nan,ik8xtd4h,p2,0,100,0,200,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,4,3,7zk7stad,p1,2,0,200,100,nan,ik8xtd4h,p2,1,0,200,100,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,4,4,7zk7stad,p1,1,100,0,200,nan,ik8xtd4h,p2,1,150,50,100,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,4,5,7zk7stad,p1,0,100,0,200,nan,ik8xtd4h,p2,2,133,33,133,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,4,6,7zk7stad,p1,2,67,167,67,nan,ik8xtd4h,p2,2,0,200,100,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,400,50,1,FALSE,TRUE,2,MV1,3,FALSE,jb5b2zsg,153,4,7,7zk7stad,p1,0,150,50,100,nan,ik8xtd4h,p2,2,100,150,50,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
