round,shuffle_role,period_length,num_subperiods,gamma,mean_matching,max_info,players_per_group,game,regret,practice,session_code,subsession_id,id_in_subsession,tick,p1_code,p1_role,p1_strategy,p1_regret0,p1_regret1,p1_regret2,p1_target,p2_code,p2_role,p2_strategy,p2_regret0,p2_regret1,p2_regret2,p2_target,p3_code,p3_role,p3_strategy,p3_regret0,p3_regret1,p3_regret2,p3_target,p4_code,p4_role,p4_strategy,p4_regret0,p4_regret1,p4_regret2,p4_target,p5_code,p5_role,p5_strategy,p5_regret0,p5_regret1,p5_regret2,p5_target,p6_code,p6_role,p6_strategy,p6_regret0,p6_regret1,p6_regret2,p6_target,p7_code,p7_role,p7_strategy,p7_regret0,p7_regret1,p7_regret2,p7_target,p8_code,p8_role,p8_strategy,p8_regret0,p8_regret1,p8_regret2,p8_target,p9_code,p9_role,p9_strategy,p9_regret0,p9_regret1,p9_regret2,p9_target,p10_code,p10_role,p10_strategy,p10_regret0,p10_regret1,p10_regret2,p10_target
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,17,zsqhhq9e,p1,1,267,286,0,nan,eus1vqlu,p2,0,517,440,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,18,zsqhhq9e,p1,1,267,280,0,nan,eus1vqlu,p2,0,523,440,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,19,zsqhhq9e,p1,0,267,275,0,nan,eus1vqlu,p2,0,529,440,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,20,zsqhhq9e,p1,0,225,275,0,nan,eus1vqlu,p2,1,500,440,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,21,zsqhhq9e,p1,0,300,275,0,nan,eus1vqlu,p2,0,500,400,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,22,zsqhhq9e,p1,0,267,275,0,nan,eus1vqlu,p2,0,475,400,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,23,zsqhhq9e,p1,1,243,275,0,nan,eus1vqlu,p2,1,453,400,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,24,zsqhhq9e,p1,1,243,288,0,nan,eus1vqlu,p2,1,453,414,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,25,zsqhhq9e,p1,1,243,300,0,nan,eus1vqlu,p2,1,453,425,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,26,zsqhhq9e,p1,0,243,311,0,nan,eus1vqlu,p2,1,453,433,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,27,zsqhhq9e,p1,1,288,311,0,nan,eus1vqlu,p2,0,453,410,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,28,zsqhhq9e,p1,1,288,305,0,nan,eus1vqlu,p2,0,461,410,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,29,zsqhhq9e,p1,1,288,300,0,nan,eus1vqlu,p2,0,468,410,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,30,zsqhhq9e,p1,0,288,295,0,nan,eus1vqlu,p2,0,475,410,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,31,zsqhhq9e,p1,0,267,295,0,nan,eus1vqlu,p2,0,457,410,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,32,zsqhhq9e,p1,1,250,295,0,nan,eus1vqlu,p2,1,441,410,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,33,zsqhhq9e,p1,1,250,304,0,nan,eus1vqlu,p2,1,441,418,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,34,zsqhhq9e,p1,1,250,313,0,nan,eus1vqlu,p2,1,441,425,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,35,zsqhhq9e,p1,1,250,320,0,nan,eus1vqlu,p2,1,441,431,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,36,zsqhhq9e,p1,1,250,327,0,nan,eus1vqlu,p2,1,441,436,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,37,zsqhhq9e,p1,0,250,333,0,nan,eus1vqlu,p2,1,441,440,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,38,zsqhhq9e,p1,0,282,333,0,nan,eus1vqlu,p2,0,441,425,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,39,zsqhhq9e,p1,1,267,333,0,nan,eus1vqlu,p2,1,426,425,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,40,zsqhhq9e,p1,1,267,339,0,nan,eus1vqlu,p2,1,426,429,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,41,zsqhhq9e,p1,1,267,345,0,nan,eus1vqlu,p2,1,426,433,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,42,zsqhhq9e,p1,1,267,350,0,nan,eus1vqlu,p2,1,426,437,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,43,zsqhhq9e,p1,1,267,355,0,nan,eus1vqlu,p2,1,426,440,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,44,zsqhhq9e,p1,1,267,359,0,nan,eus1vqlu,p2,1,426,443,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,45,zsqhhq9e,p1,1,267,364,0,nan,eus1vqlu,p2,1,426,445,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,46,zsqhhq9e,p1,1,267,368,0,nan,eus1vqlu,p2,0,426,448,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,47,zsqhhq9e,p1,1,267,363,0,nan,eus1vqlu,p2,0,433,448,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,48,zsqhhq9e,p1,0,267,358,0,nan,eus1vqlu,p2,0,440,448,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,4,49,zsqhhq9e,p1,0,254,358,0,nan,eus1vqlu,p2,0,427,448,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,0,y7hcxlmj,p1,1,0,0,0,nan,9hbhtv2x,p2,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
