Sepcs,Regret,s11,s12,s21,s22
Logit,C,0.11,0.38,0.4,0.11
Logit,A,0.09,0.16,0.18,0.56
Inertia Logit,C,0.02,0.46,0.5,0.02
Inertia Logit,A,0.07,0.17,0.18,0.58
Inertia Truncated Logit,C,0.02,0.48,0.48,0.02
Inertia Truncated Logit,A,0.06,0.19,0.15,0.61
Low Info Lab,C,0.07,0.4,0.45,0.07
Low Info Lab,A,0.12,0.22,0.27,0.39
