Sepcs,Regret,s11,s12,s13,s21,s22,s23,s31,s32,s33
Logit,C,0.01,0.16,0.15,0.17,0.01,0.15,0.17,0.16,0.01
Logit,A,0,0.18,0.19,0.13,0,0.13,0.19,0.17,0
Inertia Logit,C,0.01,0.17,0.16,0.16,0.01,0.15,0.16,0.17,0.01
Inertia Logit,A,0,0.17,0.19,0.15,0,0.17,0.17,0.14,0
Inertia Truncated Logit,C,0.02,0.16,0.16,0.16,0.02,0.15,0.16,0.16,0.02
Inertia Truncated Logit,A,0,0.19,0.16,0.15,0,0.17,0.17,0.16,0
Low Info Lab,C,0.04,0.14,0.12,0.13,0.05,0.12,0.18,0.17,0.06
Low Info Lab,A,0.07,0.14,0.13,0.13,0.07,0.13,0.12,0.15,0.07
